Date,Event,Category,Link,Short Description,Registrants,Attendees,Total Projects,Gemini Projects,% Gemini Project Share
2025-02-27,Hackhound 3.O - s2025,Gemini,https://devfolio.co/projects/margdarsakai-0dd5,"Learn with AI, Move Towards Success",287,120,59,33,55.93%
2025-02-28,Pickhacks 2025 - s2025,Gemini,https://devpost.com/software/toolbox-r9djsm,A Minecraft-themed accessibility overlay that enhances the gaming experience for everyone,23,133,59,9,15.25%
2025-02-28,SproutHacks - s2025,Gemini,https://sprouthacks.devpost.com/submissions/625593-dev-spark,Dev Spark is a Platform for users to learn and understand code,35,72,20,10,50.00%
2025-03-01,HenHacks Hackathon - s2025,Gemini,https://devpost.com/software/nutrify-y1htqm,Our Nutrient Analyzer combines AI-driven text and image recognition to quickly identify your food and deliver a comprehensive macro and micro nutrient profile.,737,302,118,47,39.83%
2025-03-01,DUWiT Hacks - s2025,Gemini,https://devpost.com/software/solar-system-probes-website,Interactive solar system simulation including famous/current probes!,129,42,9,3,33.33%
2025-03-01,WiCHacks - s2025,Gemini,https://devpost.com/software/finher?_gl=1*1gw35l5*_gcl_au*NzE5MDU2LjE3NDA3ODUzMjQ.*_ga*MTQyODI0MzA2MC4xNzIzMjE0ODY2*_ga_0YHJK3Y10M*MTc0MTAxMDQyMS45Mi4xLjE3NDEwMTA4ODYuMC4wLjA.,"Empowering Her Finances, Securing Her Future",70,8,48,19,39.58%
2025-03-01,RevolutionUC - s2025,Gemini,https://devpost.com/software/gemistudi,This extension aims to stop people from just inputing what they need into a GenAI to generate the code they need without learning the base concepts of the code they just generated.,735,291,61,16,26.23%
2025-03-01,AthenaHacks - s2025,Gemini,https://devpost.com/software/plantgo,"A web app where users can upload and classify images of plants, view maps of native plant ranges, and interact with an AR garden in order to protect native plants and promote plant biodiversity",114,87,24,14,58.33%
2025-03-07,HackMerced X - s2025,Gemini,https://devpost.com/software/contrctr-ai,"Saving small business owners time and resources using AI automations to generate, modify, and explain complex documents.",314,356,36,19,52.78%
2025-03-07,Electrothon: Colosseum of Code - s2025,Gemini,https://devfolio.co/projects/protochain-350f,An AI powered smart contract and website generator (no code required) just a single prompt.,527,530,70,1,1.43%
2025-03-08,cmd-f 2025 - s2025,Gemini,https://devpost.com/software/best-fish,write confident emails to become a big fish in your big pond,262,202,53,16,30.19%
2025-03-08,UdeMHacks - s2025,Gemini,https://devpost.com/software/leetdiagnose,"an educational quiz/game where medical students diagnose a patient by asking questions about a scenario, improving clinical reasoning and decision-making skills",223,104,30,16,53.33%
2025-03-14,cuHacking - s2025,Gemini,https://devpost.com/software/focusbuddy-qg80i4,The AI Agent That Trains Your Brain to Stay Focused,118,148,75,22,29.33%
2025-03-15,RocketHacks - s2025,Gemini,https://devpost.com/software/smartspeakai,Ai Mentor that helps with public speaking.,177,98,23,6,26.09%
2025-03-22,BisonBytes - s2025,Gemini,https://devpost.com/software/sonique-n8pb2s,Empowering every voice—education through sound for the blind and differently-abled.,186,123,40,12,30.00%
2025-03-22,GrizzHacks 7 - s2025,Gemini,https://devpost.com/software/ats-ninjas,"Tired of writing cover letters? Let Gen AI take over! Get personalized, polished cover letters & cold emails in seconds—effortless, professional, and ready to impress! Stop stressing, start applying!",286,162,53,18,33.96%
2025-03-22,HackNewHaven - s2025,Gemini,https://devpost.com/software/findyourway-9hbw5d,FindYourWay - Sometimes only you can help yourself!,222,47,13,3,23.08%
2025-03-22,tidalTAMU Spring Hackathon - s2025,Gemini,https://devpost.com/software/studysync-oxy6cg?_gl=1*1ui12s7*_gcl_au*ODIzNDMyMzYxLjE3NDE5Mzk3MDQ.*_ga*MTc2ODc3Njc4OS4xNzQxOTM5NzA0*_ga_0YHJK3Y10M*MTc0MjgyNjYwNS4yNS4xLjE3NDI4Mjk0NjQuMC4wLjA.,"Our AI-powered gamified dashboard helps students organize coursework, prioritize tasks, and create study plans while answering key academic questions, making learning more efficient and engaging.",464,174,45,17,37.78%
2025-03-28,Hackathon Troyano 2025 - s2025,Gemini,https://devpost.com/software/sirius-ak4m9s,Sirius es una plataforma que gestiona drones para atender incidentes urbanos mediante análisis de video en tiempo real generando reportes inteligentes usando el LLM Gemini.,236,TBD,56,17,30.36%
2025-03-28,HackPrinceton - s2025,Gemini,https://devpost.com/software/zoobotica,Zoobotica: Design futuristic robots by mimicking nature’s smartest creatures — your AI-powered lab for bio-inspired innovation. 🧬🤖,1242,297,87,17,19.54%
2025-03-29,HackPSU - s2025,Gemini,https://devpost.com/software/echo-gfuasy,"Echo processes queries in three steps: Breakdown bot creates subquestions, Solver bot answers them, and Breakdown bot verifies the solution before presenting the final answer to the user.",510,318,76,17,22.37%
2025-03-29,HooHacks - s2025,Gemini,https://devpost.com/software/outfitted-ai,"Outfitted.AI suggests the perfect shoes for any outfit. Upload or snap a photo, get matching shoe options, compare prices, and preview the look — all powered by Gemini, SerpAPI, and MongoDB.",2090,828,198,17,8.59%
2025-03-29,ProfHacks 2025 - s2025,Gemini,https://devpost.com/software/hands-free-gambling,The future is filled with less car crashes due to gambling addictions.,206,228,16,17,106.25%
2025-03-29,The Midwest Block-a-Thon - s2025,Gemini,https://devpost.com/software/gitbuddy,Our project aims to encourage people to write code every day. Users are able to stake ETH to start a streak which is kept by making a Github commit. Keeping a streak long enough rewards you with ETH.,67,39,21,17,80.95%
2025-03-29,Uncommon Hacks - s2025,Gemini,https://devpost.com/software/demon-dive,Explore the relationships of 5 others: find and eliminate the murderer.,558,159,42,17,40.48%
2025-04-04,HackKU - s2025,Gemini,https://devpost.com/software/spot-a-song-ufcm9k,"Have you ever wanted to listen to a playlist with the same vibe as one of your favorite songs? Look no further than spot-a-song, with a click of a button you can discover a new music experience!",570,479,98,17,17.35%
2025-04-04,ImmerseGT - s2025,Gemini,https://devpost.com/software/navai,"Exploring a new city involves long hours on map apps. NavAI allows you to explore your map in person, pulling up information about a location with a glance and guiding you via minimap to new locations",225,110,22,17,77.27%
2025-04-04,SFHacks 2025 - s2025,Gemini,https://devpost.com/software/diaster-watch,"Disaster Watch is a unified dashboard that delivers real-time alerts and predictive insights during any disaster, empowering users with clarity when every second counts.",973,TBD,76,17,22.37%
2025-04-04,DevsHouse '25 - s2025,Gemini,https://devfolio.co/submissions/aura-5a06,Where EmotionMeets Expression,246,249,45,17,37.78%
2025-04-04,HackByte - s2025,Gemini,https://devfolio.co/projects/what-if-9998,What If – Every Question Opens a New World.,495,TBD,108,17,15.74%
2025-04-05,DiamondHacks - s2025,Gemini,https://devpost.com/software/study-tool-g5qj1t,AI Study Tool to Empower your Learning,363,298,96,17,17.71%
2025-04-05,sharkHack - s2025,Gemini,https://devpost.com/software/optiprompt,"OptiPrompt fine-tunes your AI prompts before you run them. Get sharper, smarter outputs with zero trial and error. Think Grammarly for prompts — powered by Gemini, built for precision.",155,37,17,17,100.00%
2025-04-05,WEHack - s2025,Gemini,https://devpost.com/software/investimate-d0rs28?_gl=1*1s4e2p9*_gcl_au*ODIzNDMyMzYxLjE3NDE5Mzk3MDQ.*_ga*MTc2ODc3Njc4OS4xNzQxOTM5NzA0*_ga_0YHJK3Y10M*MTc0NDU2NDg0MS43NS4xLjE3NDQ1NjUzMTYuMC4wLjA.,"Investimate – Smarter Risks, Wiser Returns.",663,318,78,17,21.79%
2025-04-05,WildHacks - s2025,Gemini,https://devpost.com/software/gem-interior-ify,Redesign your room's design to the style you love in seconds using Google Gemini,726,367,94,17,18.09%
2025-04-11,AI Hackfest - s2025,Gemini,https://devpost.com/software/declutter-ai,AI Agent to help you organize and declutter your file,252,429,72,17,23.61%
2025-04-11,Bit Hacks - s2025,Gemini,https://devpost.com/software/zotfitness,"Have you wanted more from your fitness watch? ZotFitness tracks key body metrics and offers workout advice. Stay active, healthy, and make progress with personalized guidance!",177,TBD,27,17,62.96%
2025-04-11,Bitcamp 2025 - s2025,Gemini,https://devpost.com/software/visuworld,Speak worlds into reality.,2110,1083,232,17,7.33%
2025-04-11,CruzHacks - s2025,Gemini,https://devpost.com/software/slugmeditate,Transforming calm thoughts into immersive VR journeys.,307,TBD,12,17,141.67%
2025-04-12,HackaBull - s2025,Gemini,https://devpost.com/software/carbonctrl,"Monitor, reduce, and offset your environmental footprint with our comprehensive carbon tracking platform.",106,69,63,17,26.98%
2025-04-12,UTA Datathon - s2025,Gemini,https://devpost.com/software/teamwise,"Have you ever gone to an event, looked around at over 100 people, and thought, “Who should I talk to?” MeetWise helps you cut through the noise and connect with the right people, who match your goals.",270,126,70,17,24.29%
2025-04-12,DragonHack 2025 - s2025,Gemini,https://github.com/TheLukaDragar/brainblendvercel,"Faced a question, asked friend for help, solved it ‚Äî but forgot it later? We embed shared knowledge into an AI model, so next time, the answer‚Äôs already there. Community answers train the model, making it smarter and your knowledge easier to reuse.",159,158,40,17,42.50%
2025-04-19,HackDavis 2025 - s2025,Gemini,https://devpost.com/software/kindness-quest,"Kindness Quest is a playful mobile app where kids complete daily real-world missions that build empathy, awareness, and inclusion—turning social good into a game they love.",1626,673,160,17,10.63%